MachineID,TotalProduction,TotalDowntime,AvgDefectRate,AvgProductionEfficiency,TotalDowntimeImpactUnits,MachineAge,MachineType
M01,24024,70.6,0.018214258002391556,0.8682716435599562,3554,3,Cutting
M02,22517,73.6,0.017474072090907854,0.861529791065014,3555,4,Cutting
M03,18817,137.1,0.025859729020876823,0.7656768971304687,5658,11,Assembly
M04,24254,78.9,0.018006628284425702,0.85253033303348,4091,5,Packaging
M05,25674,75.6,0.017899100617939343,0.855062966273512,4269,6,Packaging
M06,21052,83.8,0.019919390121438153,0.848518708858564,3670,7,Cutting
M07,15406,171.6,0.031591600077671235,0.7093234124787167,6212,12,Assembly
M08,18792,86.7,0.020082202833532254,0.8405978452061073,3492,4,Assembly
M09,22060,85.6,0.01983777697132132,0.845088411166168,3964,8,Packaging
M10,22700,83.5,0.019852318192989746,0.8458817821399192,4053,6,Packaging
M11,17227,92.7,0.021159424697154976,0.8336944496101255,3360,2,Cutting
M12,15621,86.6,0.020760790645208287,0.8348371488125605,3028,9,Cutting
M13,15138,95.1,0.02145198315666437,0.8265050953042787,3112,5,Assembly
M14,14686,94.5,0.021054998106302732,0.8270960281880757,3003,3,Assembly
M15,18846,89.2,0.020770437325924866,0.8334601362655472,3701,10,Packaging
