Date,Plant,MachineID,MachineType,Shift,Operator,ProductionUnits,DowntimeHours,Defects,MaintenanceEvent,PlannedProduction,UtilizationRate,DefectRate,PlantProductionCapacity,MachineAge,MachineAgeGroup,YearMonth
2025-01-01,Plant A,M01,Cutting,Morning,Liam,343,0.4,5,No,363,0.95,0.014577259475218658,6000,3,New,
2025-01-01,Plant A,M02,Cutting,Morning,Sofia,318,0.4,4,No,339,0.95,0.012578616352201259,6000,4,New,
2025-01-01,Plant A,M03,Assembly,Morning,Hugo,272,1.2,6,No,321,0.85,0.022058823529411766,6000,11,Old,
2025-01-01,Plant A,M04,Packaging,Morning,Liam,331,0.9,4,No,377,0.8875,0.012084592145015106,6000,5,Mid-life,
2025-01-01,Plant A,M05,Packaging,Afternoon,Ethan,326,0.9,6,No,375,0.8875,0.018404907975460124,6000,6,Mid-life,
2025-01-01,Plant B,M06,Cutting,Afternoon,Nathan,253,1.0,5,No,294,0.875,0.019762845849802372,4200,7,Mid-life,
2025-01-01,Plant B,M07,Assembly,Afternoon,Ella,194,2.0,6,No,265,0.75,0.030927835051546393,4200,12,Old,
2025-01-01,Plant B,M08,Assembly,Night,Harper,202,1.6,6,No,257,0.8,0.0297029702970297,4200,4,New,
2025-01-01,Plant B,M09,Packaging,Night,Lina,235,1.3,7,No,292,0.8375,0.029787234042553193,4200,8,Mid-life,
2025-01-01,Plant B,M10,Packaging,Night,James,242,1.3,7,No,306,0.8375,0.028925619834710745,4200,6,Mid-life,
2025-01-02,Plant A,M05,Packaging,Morning,Sofia,353,0.8,4,No,402,0.9,0.0113314447592068,6000,6,Mid-life,
2025-01-02,Plant B,M06,Cutting,Morning,Emma,282,0.8,4,No,315,0.9,0.014184397163120567,4200,7,Mid-life,
2025-01-02,Plant B,M07,Assembly,Morning,Ava,227,1.6,6,No,287,0.8,0.02643171806167401,4200,12,Old,
2025-01-02,Plant B,M08,Assembly,Morning,Lucas,258,0.7,3,No,289,0.9125,0.011627906976744186,4200,4,New,
2025-01-02,Plant B,M09,Packaging,Afternoon,Nathan,249,1.4,6,No,314,0.825,0.024096385542168676,4200,8,Mid-life,
2025-01-02,Plant B,M10,Packaging,Afternoon,Ella,271,1.1,6,No,323,0.8625,0.02214022140221402,4200,6,Mid-life,
2025-01-02,Plant C,M11,Cutting,Afternoon,Aria,202,1.4,4,No,253,0.825,0.019801980198019802,3000,2,New,
2025-01-02,Plant C,M12,Cutting,Night,Sami,169,1.5,5,No,222,0.8125,0.029585798816568046,3000,9,Old,
2025-01-02,Plant C,M13,Assembly,Night,Jack,156,1.7,5,No,207,0.7875,0.03205128205128205,3000,5,Mid-life,
2025-01-03,Plant B,M09,Packaging,Morning,Emma,299,0.8,4,No,335,0.9,0.013377926421404682,4200,8,Mid-life,
2025-01-03,Plant B,M10,Packaging,Morning,Ava,321,0.6,4,No,354,0.925,0.012461059190031152,4200,6,Mid-life,
2025-01-03,Plant C,M11,Cutting,Morning,Zoe,229,0.9,3,No,263,0.8875,0.013100436681222707,3000,2,New,
2025-01-03,Plant C,M12,Cutting,Morning,Nina,225,0.9,3,No,255,0.8875,0.013333333333333334,3000,9,Old,
2025-01-03,Plant C,M13,Assembly,Afternoon,Owen,181,1.2,3,No,224,0.85,0.016574585635359115,3000,5,Mid-life,
2025-01-03,Plant C,M14,Assembly,Afternoon,Aria,177,1.1,4,No,211,0.8625,0.022598870056497175,3000,3,New,
2025-01-03,Plant C,M15,Packaging,Afternoon,Mila,220,1.5,5,No,280,0.8125,0.022727272727272728,3000,10,Old,
2025-01-03,Plant A,M01,Cutting,Night,Noah,239,1.3,6,No,303,0.8375,0.02510460251046025,6000,3,New,
2025-01-03,Plant A,M02,Cutting,Night,Chloe,250,1.0,7,No,297,0.875,0.028,6000,4,New,
2025-01-06,Plant C,M13,Assembly,Morning,Leo,218,0.6,3,No,239,0.925,0.013761467889908258,3000,5,Mid-life,
2025-01-06,Plant C,M14,Assembly,Morning,Zoe,207,0.9,3,No,232,0.8875,0.014492753623188406,3000,3,New,
2025-01-06,Plant C,M15,Packaging,Morning,Nina,259,0.9,4,No,296,0.8875,0.015444015444015444,3000,10,Old,
2025-01-06,Plant A,M01,Cutting,Morning,Liam,328,0.7,3,No,358,0.9125,0.009146341463414634,6000,3,New,
2025-01-06,Plant A,M02,Cutting,Afternoon,Ethan,272,0.8,4,No,313,0.9,0.014705882352941176,6000,4,New,
2025-01-06,Plant A,M03,Assembly,Afternoon,Camille,221,1.7,6,No,295,0.7875,0.027149321266968326,6000,11,Old,
2025-01-06,Plant A,M04,Packaging,Afternoon,Mia,291,1.2,7,No,344,0.85,0.024054982817869417,6000,5,Mid-life,
2025-01-06,Plant A,M05,Packaging,Night,Chloe,269,1.2,7,No,340,0.85,0.026022304832713755,6000,6,Mid-life,
2025-01-06,Plant B,M06,Cutting,Night,Lina,209,1.3,6,No,263,0.8375,0.028708133971291867,4200,7,Mid-life,
2025-01-06,Plant B,M07,Assembly,Night,James,163,2.4,6,No,245,0.7,0.03680981595092025,4200,12,Old,
2025-01-07,Plant A,M02,Cutting,Morning,Sofia,315,0.5,5,No,341,0.9375,0.015873015873015872,6000,4,New,
2025-01-07,Plant A,M03,Assembly,Morning,Hugo,257,1.5,5,No,323,0.8125,0.019455252918287938,6000,11,Old,
2025-01-07,Plant A,M04,Packaging,Morning,Liam,354,0.5,4,No,374,0.9375,0.011299435028248588,6000,5,Mid-life,
2025-01-07,Plant A,M05,Packaging,Morning,Sofia,379,0.5,5,No,406,0.9375,0.013192612137203167,6000,6,Mid-life,
2025-01-07,Plant B,M06,Cutting,Afternoon,Nathan,244,1.1,5,No,294,0.8625,0.020491803278688523,4200,7,Mid-life,
2025-01-07,Plant B,M07,Assembly,Afternoon,Ella,196,1.8,6,No,265,0.775,0.030612244897959183,4200,12,Old,
2025-01-07,Plant B,M08,Assembly,Afternoon,Mason,233,1.2,5,No,283,0.85,0.02145922746781116,4200,4,New,
2025-01-07,Plant B,M09,Packaging,Night,Lina,232,1.5,7,No,300,0.8125,0.03017241379310345,4200,8,Mid-life,
2025-01-07,Plant B,M10,Packaging,Night,James,229,1.8,6,No,309,0.775,0.026200873362445413,4200,6,Mid-life,
2025-01-08,Plant B,M06,Cutting,Morning,Emma,274,1.1,4,No,316,0.8625,0.014598540145985401,4200,7,Mid-life,
2025-01-08,Plant B,M07,Assembly,Morning,Ava,214,1.9,5,No,289,0.7625,0.02336448598130841,4200,12,Old,
2025-01-08,Plant B,M08,Assembly,Morning,Lucas,272,0.7,4,No,303,0.9125,0.014705882352941176,4200,4,New,
2025-01-08,Plant B,M09,Packaging,Morning,Emma,300,1.0,4,No,348,0.875,0.013333333333333334,4200,8,Mid-life,
2025-01-08,Plant B,M10,Packaging,Afternoon,Ella,272,1.1,5,No,328,0.8625,0.01838235294117647,4200,6,Mid-life,
2025-01-08,Plant C,M11,Cutting,Afternoon,Aria,214,1.1,4,No,253,0.8625,0.018691588785046728,3000,2,New,
2025-01-08,Plant C,M12,Cutting,Afternoon,Mila,202,1.1,5,No,242,0.8625,0.024752475247524754,3000,9,Old,
2025-01-08,Plant C,M13,Assembly,Night,Jack,160,1.8,5,No,217,0.775,0.03125,3000,5,Mid-life,
2025-01-08,Plant C,M14,Assembly,Night,Mila,157,1.6,5,No,205,0.8,0.03184713375796178,3000,3,New,
2025-01-09,Plant B,M10,Packaging,Morning,Ava,329,0.8,6,No,360,0.9,0.0182370820668693,4200,6,Mid-life,
2025-01-09,Plant C,M11,Cutting,Morning,Zoe,238,0.7,3,No,270,0.9125,0.012605042016806723,3000,2,New,
2025-01-09,Plant C,M12,Cutting,Morning,Nina,221,1.0,3,No,259,0.875,0.013574660633484163,3000,9,Old,
2025-01-09,Plant C,M13,Assembly,Morning,Leo,209,0.8,3,No,239,0.9,0.014354066985645933,3000,5,Mid-life,
2025-01-09,Plant C,M14,Assembly,Afternoon,Aria,176,1.2,3,No,218,0.85,0.017045454545454544,3000,3,New,
2025-01-09,Plant C,M15,Packaging,Afternoon,Mila,248,1.0,6,No,296,0.875,0.024193548387096774,3000,10,Old,
2025-01-09,Plant A,M01,Cutting,Afternoon,Mia,304,0.8,6,No,350,0.9,0.019736842105263157,6000,3,New,
2025-01-09,Plant A,M02,Cutting,Night,Chloe,252,1.1,7,No,307,0.8625,0.027777777777777776,6000,4,New,
2025-01-09,Plant A,M03,Assembly,Night,Lucas,200,2.0,7,No,280,0.75,0.035,6000,11,Old,
2025-01-09,Plant A,M04,Packaging,Night,Noah,261,1.3,7,No,325,0.8375,0.02681992337164751,6000,5,Mid-life,
2025-01-10,Plant C,M14,Assembly,Morning,Zoe,203,1.1,3,No,238,0.8625,0.014778325123152709,3000,3,New,
2025-01-10,Plant C,M15,Packaging,Morning,Nina,269,0.8,4,No,306,0.9,0.01486988847583643,3000,10,Old,
2025-01-10,Plant A,M01,Cutting,Morning,Liam,317,1.0,4,No,361,0.875,0.012618296529968454,6000,3,New,
2025-01-10,Plant A,M02,Cutting,Morning,Sofia,326,0.4,4,No,343,0.95,0.012269938650306749,6000,4,New,
2025-01-10,Plant A,M03,Assembly,Afternoon,Camille,244,1.4,6,No,301,0.825,0.02459016393442623,6000,11,Old,
2025-01-10,Plant A,M04,Packaging,Afternoon,Mia,295,1.0,5,No,346,0.875,0.01694915254237288,6000,5,Mid-life,
2025-01-10,Plant A,M05,Packaging,Afternoon,Ethan,315,1.0,6,No,372,0.875,0.01904761904761905,6000,6,Mid-life,
2025-01-10,Plant B,M06,Cutting,Night,Lina,235,0.9,7,No,278,0.8875,0.029787234042553193,4200,7,Mid-life,
2025-01-10,Plant B,M07,Assembly,Night,James,164,2.3,7,No,247,0.7125,0.042682926829268296,4200,12,Old,
2025-01-13,Plant A,M03,Assembly,Morning,Hugo,284,1.0,5,No,326,0.875,0.017605633802816902,6000,11,Old,
2025-01-13,Plant A,M04,Packaging,Morning,Liam,348,0.4,5,No,373,0.95,0.014367816091954023,6000,5,Mid-life,
2025-01-13,Plant A,M05,Packaging,Morning,Sofia,351,1.0,4,No,401,0.875,0.011396011396011397,6000,6,Mid-life,
2025-01-13,Plant B,M06,Cutting,Morning,Emma,287,0.8,4,No,321,0.9,0.013937282229965157,4200,7,Mid-life,
2025-01-13,Plant B,M07,Assembly,Afternoon,Ella,198,1.9,6,No,264,0.7625,0.030303030303030304,4200,12,Old,
2025-01-13,Plant B,M08,Assembly,Afternoon,Mason,234,1.1,5,No,276,0.8625,0.021367521367521368,4200,4,New,
2025-01-13,Plant B,M09,Packaging,Afternoon,Nathan,256,1.3,5,No,322,0.8375,0.01953125,4200,8,Mid-life,
2025-01-13,Plant B,M10,Packaging,Night,James,244,1.3,7,No,299,0.8375,0.028688524590163935,4200,6,Mid-life,
2025-01-13,Plant C,M11,Cutting,Night,Mila,182,1.3,5,No,228,0.8375,0.027472527472527472,3000,2,New,
2025-01-14,Plant B,M07,Assembly,Morning,Ava,226,1.7,6,No,287,0.7875,0.02654867256637168,4200,12,Old,
2025-01-14,Plant B,M08,Assembly,Morning,Lucas,258,0.8,4,No,291,0.9,0.015503875968992248,4200,4,New,
2025-01-14,Plant B,M09,Packaging,Morning,Emma,331,0.3,5,No,352,0.9625,0.015105740181268883,4200,8,Mid-life,
