Date,Plant,MachineID,MachineType,Shift,Operator,ProductionUnits,DowntimeHours,Defects,MaintenanceEvent,PlannedProduction,UtilizationRate,DefectRate,PlantProductionCapacity,MachineAge,MachineAgeGroup,YearMonth,ProductionEfficiency,DowntimeImpact,DowntimeImpactUnits
2025-01-01,Plant A,M01,Cutting,Morning,Liam,343,0.4,5,No,363,0.95,0.014577259475218658,6000,3,New,2025-01,0.9449035812672176,0.05509641873278237,20
2025-01-01,Plant A,M02,Cutting,Morning,Sofia,318,0.4,4,No,339,0.95,0.012578616352201259,6000,4,New,2025-01,0.9380530973451328,0.06194690265486724,21
2025-01-01,Plant A,M03,Assembly,Morning,Hugo,272,1.2,6,No,321,0.85,0.022058823529411766,6000,11,Old,2025-01,0.8473520249221184,0.15264797507788164,49
2025-01-01,Plant A,M04,Packaging,Morning,Liam,331,0.9,4,No,377,0.8875,0.012084592145015106,6000,5,Mid-life,2025-01,0.8779840848806366,0.12201591511936338,46
2025-01-01,Plant A,M05,Packaging,Afternoon,Ethan,326,0.9,6,No,375,0.8875,0.018404907975460124,6000,6,Mid-life,2025-01,0.8693333333333333,0.1306666666666667,49
2025-01-01,Plant B,M06,Cutting,Afternoon,Nathan,253,1.0,5,No,294,0.875,0.019762845849802372,4200,7,Mid-life,2025-01,0.8605442176870748,0.1394557823129252,41
2025-01-01,Plant B,M07,Assembly,Afternoon,Ella,194,2.0,6,No,265,0.75,0.030927835051546393,4200,12,Old,2025-01,0.7320754716981132,0.26792452830188684,71
2025-01-01,Plant B,M08,Assembly,Night,Harper,202,1.6,6,No,257,0.8,0.0297029702970297,4200,4,New,2025-01,0.7859922178988327,0.21400778210116733,55
2025-01-01,Plant B,M09,Packaging,Night,Lina,235,1.3,7,No,292,0.8375,0.029787234042553193,4200,8,Mid-life,2025-01,0.8047945205479452,0.1952054794520548,57
2025-01-01,Plant B,M10,Packaging,Night,James,242,1.3,7,No,306,0.8375,0.028925619834710745,4200,6,Mid-life,2025-01,0.7908496732026143,0.20915032679738566,64
2025-01-02,Plant A,M05,Packaging,Morning,Sofia,353,0.8,4,No,402,0.9,0.0113314447592068,6000,6,Mid-life,2025-01,0.8781094527363185,0.12189054726368154,49
2025-01-02,Plant B,M06,Cutting,Morning,Emma,282,0.8,4,No,315,0.9,0.014184397163120567,4200,7,Mid-life,2025-01,0.8952380952380953,0.10476190476190472,33
2025-01-02,Plant B,M07,Assembly,Morning,Ava,227,1.6,6,No,287,0.8,0.02643171806167401,4200,12,Old,2025-01,0.7909407665505227,0.2090592334494773,60
2025-01-02,Plant B,M08,Assembly,Morning,Lucas,258,0.7,3,No,289,0.9125,0.011627906976744186,4200,4,New,2025-01,0.8927335640138409,0.10726643598615915,31
2025-01-02,Plant B,M09,Packaging,Afternoon,Nathan,249,1.4,6,No,314,0.825,0.024096385542168676,4200,8,Mid-life,2025-01,0.7929936305732485,0.20700636942675155,65
2025-01-02,Plant B,M10,Packaging,Afternoon,Ella,271,1.1,6,No,323,0.8625,0.02214022140221402,4200,6,Mid-life,2025-01,0.8390092879256966,0.16099071207430338,52
2025-01-02,Plant C,M11,Cutting,Afternoon,Aria,202,1.4,4,No,253,0.825,0.019801980198019802,3000,2,New,2025-01,0.7984189723320159,0.20158102766798414,51
2025-01-02,Plant C,M12,Cutting,Night,Sami,169,1.5,5,No,222,0.8125,0.029585798816568046,3000,9,Old,2025-01,0.7612612612612613,0.23873873873873874,53
2025-01-02,Plant C,M13,Assembly,Night,Jack,156,1.7,5,No,207,0.7875,0.03205128205128205,3000,5,Mid-life,2025-01,0.7536231884057971,0.24637681159420288,51
2025-01-03,Plant B,M09,Packaging,Morning,Emma,299,0.8,4,No,335,0.9,0.013377926421404682,4200,8,Mid-life,2025-01,0.8925373134328358,0.10746268656716418,36
2025-01-03,Plant B,M10,Packaging,Morning,Ava,321,0.6,4,No,354,0.925,0.012461059190031152,4200,6,Mid-life,2025-01,0.9067796610169492,0.09322033898305082,33
2025-01-03,Plant C,M11,Cutting,Morning,Zoe,229,0.9,3,No,263,0.8875,0.013100436681222707,3000,2,New,2025-01,0.870722433460076,0.12927756653992395,34
2025-01-03,Plant C,M12,Cutting,Morning,Nina,225,0.9,3,No,255,0.8875,0.013333333333333334,3000,9,Old,2025-01,0.8823529411764706,0.11764705882352944,30
2025-01-03,Plant C,M13,Assembly,Afternoon,Owen,181,1.2,3,No,224,0.85,0.016574585635359115,3000,5,Mid-life,2025-01,0.8080357142857143,0.1919642857142857,43
2025-01-03,Plant C,M14,Assembly,Afternoon,Aria,177,1.1,4,No,211,0.8625,0.022598870056497175,3000,3,New,2025-01,0.8388625592417062,0.16113744075829384,34
